Date,Dividendes,ticker
2022-01-01,10.0,SWP.PA
2022-01-02,4.8,SWP.PA
2022-01-03,2.4,SWP.PA
2022-01-04,1.2,SWP.PA
2022-01-05,3.6,SWP.PA
2022-01-06,1.2,SWP.PA
2022-01-07,1.2,SWP.PA
2022-01-08,1.2,SWP.PA
2022-01-09,1.2,SWP.PA
2022-01-10,1.0,SWP.PA
2022-01-11,0.69,SWP.PA
2022-01-12,0.69,SWP.PA
2022-01-13,0.69,SWP.PA
2022-01-14,1.7,SWP.PA
2022-01-15,0.69,SWP.PA
2022-01-16,3.0,UFF.PA
2022-01-17,0.7,UFF.PA
2022-01-18,0.05,UFF.PA
2022-01-19,3.0,UFF.PA
2022-01-20,0.7,UFF.PA
2022-01-21,1.25,UFF.PA
2022-01-22,0.7,UFF.PA
2022-01-23,0.7,UFF.PA
2022-01-24,1.25,UFF.PA
2022-01-25,0.7,UFF.PA
2022-01-26,1.2,UFF.PA
2022-01-27,0.6,UFF.PA
2022-01-28,1.1,UFF.PA
2022-01-29,0.85,UFF.PA
2022-01-30,0.8,UFF.PA
2022-01-31,0.7,UFF.PA
2022-02-01,0.7,UFF.PA
2022-02-02,0.7,UFF.PA
2022-02-03,0.45,UFF.PA
2022-02-04,0.65,UFF.PA
2022-02-05,0.35,UFF.PA
2022-02-06,1.3,UFF.PA
2022-02-07,0.7,UFF.PA
2022-02-08,1.6,UFF.PA
2022-02-09,41.93,BLEE.PA
2022-02-10,41.2,BLEE.PA
2022-02-11,41.2,BLEE.PA
2022-02-12,2.8,BLEE.PA
2022-02-13,1.5,COFA.PA
2022-02-14,0.55,COFA.PA
2022-02-15,0.79,COFA.PA
2022-02-16,0.34,COFA.PA
2022-02-17,0.13,COFA.PA
2022-02-18,0.48,COFA.PA
2022-02-19,0.48,COFA.PA
2022-02-20,1.05,ACA.PA
2022-02-21,0.8,ACA.PA
2022-02-22,0.69,ACA.PA
2022-02-23,0.63,ACA.PA
2022-02-24,0.577778,ACA.PA
2022-02-25,0.577778,ACA.PA
2022-02-26,0.337037,ACA.PA
2022-02-27,0.337037,ACA.PA
2022-02-28,0.433333,ACA.PA
2022-03-01,0.92,MERY.PA
2022-03-02,0.43,MERY.PA
2022-03-03,0.48,MERY.PA
2022-03-04,0.47,MERY.PA
2022-03-05,0.62,MERY.PA
2022-03-06,0.5,MERY.PA
2022-03-07,0.68,MERY.PA
2022-03-08,0.41,MERY.PA
2022-03-09,0.63,MERY.PA
2022-03-10,0.43,MERY.PA
2022-03-11,0.57,MERY.PA
2022-03-12,0.76,MERY.PA
2022-03-13,0.88,MERY.PA
2022-03-14,0.36,MERY.PA
2022-03-15,0.82,MERY.PA
2022-03-16,0.34,MERY.PA
2022-03-17,0.25,MERY.PA
2022-03-18,10.87,MERY.PA
2022-03-19,0.54,MERY.PA
2022-03-20,0.76,MERY.PA
2022-03-21,2.3,IDIP.PA
2022-03-22,1.1,IDIP.PA
2022-03-23,2.0,IDIP.PA
2022-03-24,1.5,IDIP.PA
2022-03-25,1.9,IDIP.PA
2022-03-26,4.0,IDIP.PA
2022-03-27,1.6,IDIP.PA
2022-03-28,1.4,IDIP.PA
2022-03-29,1.25,IDIP.PA
2022-03-30,1.6,IDIP.PA
2022-03-31,1.0,IDIP.PA
2022-04-01,3.0,IDIP.PA
2022-04-02,0.15,IDIP.PA
2022-04-03,1.0,IDIP.PA
2022-04-04,3.35,IDIP.PA
2022-04-05,1.15,IDIP.PA
2022-04-06,2.0,ALBIO.PA
2022-04-07,0.2,ALBIO.PA
2022-04-08,0.65,ALTUR.PA
2022-04-09,0.37,ALTUR.PA
2022-04-10,0.12,ALTUR.PA
2022-04-11,0.3,ALTUR.PA
2022-04-12,0.3,ALTUR.PA
2022-04-13,0.3,ALTUR.PA
2022-04-14,0.24,ALTUR.PA
2022-04-15,0.24,ALTUR.PA
2022-04-16,0.24,ALTUR.PA
2022-04-17,0.11041,MLEFA.PA
2022-04-18,0.49369,MLEFA.PA
2022-04-19,1.2768,MLEFA.PA
2022-04-20,0.048,MLEFA.PA
2022-04-21,0.016,MLEFA.PA
2022-04-22,0.021,MLEFA.PA
2022-04-23,1.63,ALVIA.PA
2022-04-24,0.75,ALVIA.PA
2022-04-25,0.75,ALVIA.PA
2022-04-26,2.13,ALVIA.PA
2022-04-27,1.91,ALVIA.PA
2022-04-28,1.075,ALVIA.PA
2022-04-29,0.4,ALVIA.PA
2022-04-30,1.48,MLLOI.PA
2022-05-01,0.25,MLLOI.PA
2022-05-02,0.25,MLLOI.PA
2022-05-03,0.5,MLLOI.PA
2022-05-04,0.5,MLLOI.PA
2022-05-05,0.5,MLLOI.PA
2022-05-06,0.5,MLLOI.PA
2022-05-07,0.148,MLLOI.PA
2022-05-08,0.5,MLLOI.PA
2022-05-09,1.0,MLLOI.PA
2022-05-10,0.66,TTE.PA
2022-05-11,0.66,TTE.PA
2022-05-12,0.66,TTE.PA
2022-05-13,0.66,TTE.PA
2022-05-14,0.66,TTE.PA
2022-05-15,0.66,TTE.PA
2022-05-16,0.66,TTE.PA
2022-05-17,0.66,TTE.PA
2022-05-18,0.68,TTE.PA
2022-05-19,0.68,TTE.PA
2022-05-20,0.66,TTE.PA
2022-05-21,0.66,TTE.PA
2022-05-22,0.64,TTE.PA
2022-05-23,0.64,TTE.PA
2022-05-24,0.64,TTE.PA
2022-05-25,0.64,TTE.PA
2022-05-26,0.62,TTE.PA
2022-05-27,0.62,TTE.PA
2022-05-28,0.62,TTE.PA
2022-05-29,0.62,TTE.PA
2022-05-30,0.62,TTE.PA
2022-05-31,0.61,TTE.PA
2022-06-01,0.61,TTE.PA
2022-06-02,0.61,TTE.PA
2022-06-03,0.61,TTE.PA
2022-06-04,0.61,TTE.PA
2022-06-05,0.61,TTE.PA
2022-06-06,0.61,TTE.PA
2022-06-07,0.61,TTE.PA
2022-06-08,0.61,TTE.PA
2022-06-09,0.61,TTE.PA
2022-06-10,0.61,TTE.PA
2022-06-11,0.61,TTE.PA
2022-06-12,0.59,TTE.PA
2022-06-13,0.59,TTE.PA
2022-06-14,0.59,TTE.PA
2022-06-15,0.59,TTE.PA
2022-06-16,0.59,TTE.PA
2022-06-17,0.59,TTE.PA
2022-06-18,0.57,TTE.PA
2022-06-19,0.57,TTE.PA
2022-06-20,0.57,TTE.PA
2022-06-21,0.57,TTE.PA
2022-06-22,0.57,TTE.PA
2022-06-23,1.14,TTE.PA
2022-06-24,3.67,BNP.PA
2022-06-25,1.55,BNP.PA
2022-06-26,1.11,BNP.PA
2022-06-27,3.1,BNP.PA
2022-06-28,3.02,BNP.PA
2022-06-29,3.02,BNP.PA
2022-06-30,2.7,BNP.PA
2022-07-01,2.31,BNP.PA
2022-07-02,1.5,BNP.PA
2022-07-03,1.5,BNP.PA
2022-07-04,1.5,BNP.PA
2022-07-05,1.2,BNP.PA
2022-07-06,2.1,BNP.PA
2022-07-07,1.54,CS.PA
2022-07-08,1.43,CS.PA
2022-07-09,0.73,CS.PA
2022-07-10,1.43,CS.PA
2022-07-11,1.34,CS.PA
2022-07-12,1.26,CS.PA
2022-07-13,1.16,CS.PA
2022-07-14,1.1,CS.PA
2022-07-15,0.95,CS.PA
2022-07-16,0.81,CS.PA
2022-07-17,0.72,CS.PA
2022-07-18,0.72,CS.PA
2022-07-19,0.69,CS.PA
2022-07-20,0.69,CS.PA
2022-07-21,1.04,STLA.PA
2022-07-22,0.32,STLA.PA
2022-07-23,0.096677,STLA.PA
2022-07-24,1.84,STLA.PA
2022-07-25,0.85,ENGI.PA
2022-07-26,0.85,ENGI.PA
2022-07-27,0.53,ENGI.PA
2022-07-28,0.8,ENGI.PA
2022-07-29,0.37,ENGI.PA
2022-07-30,0.37,ENGI.PA
2022-07-31,0.35,ENGI.PA
2022-08-01,0.35,ENGI.PA
2022-01-01,0.5,ENGI.PA
2022-01-02,0.5,ENGI.PA
2022-01-03,0.5,ENGI.PA
2022-01-04,0.5,ENGI.PA
2022-01-05,0.5,ENGI.PA
2022-01-06,0.5,ENGI.PA
2022-01-07,0.67,ENGI.PA
2022-01-08,0.83,ENGI.PA
2022-01-09,0.67,ENGI.PA
2022-01-10,0.83,ENGI.PA
2022-01-11,0.67,ENGI.PA
2022-01-12,0.83,ENGI.PA
2022-01-13,0.67,ENGI.PA
2022-01-14,0.4,ORA.PA
2022-01-15,0.3,ORA.PA
2022-01-16,0.2,ORA.PA
2022-01-17,0.4,ORA.PA
2022-01-18,0.2,ORA.PA
2022-01-19,0.3,ORA.PA
2022-01-20,0.4,ORA.PA
2022-01-21,0.3,ORA.PA
2022-01-22,0.4,ORA.PA
2022-01-23,0.25,ORA.PA
2022-01-24,0.4,ORA.PA
2022-01-25,0.2,ORA.PA
2022-01-26,0.4,ORA.PA
2022-01-27,0.2,ORA.PA
2022-01-28,0.4,ORA.PA
2022-01-29,0.2,ORA.PA
2022-01-30,0.5,ORA.PA
2022-01-31,0.3,ORA.PA
2022-02-01,0.2,ORA.PA
2022-02-02,0.58,ORA.PA
2022-02-03,0.8,ORA.PA
2022-02-04,0.6,ORA.PA
2022-02-05,0.8,ORA.PA
2022-02-06,1.65,GLE.PA
2022-02-07,0.55,GLE.PA
2022-02-08,2.2,GLE.PA
2022-02-09,2.2,GLE.PA
2022-02-10,2.2,GLE.PA
2022-02-11,2.2,GLE.PA
2022-02-12,2.0,GLE.PA
2022-02-13,1.2,GLE.PA
2022-02-14,1.0,GLE.PA
2022-02-15,0.45,GLE.PA
2022-02-16,1.75,GLE.PA
2022-02-17,1.8,EN.PA
2022-02-18,1.7,EN.PA
2022-02-19,1.7,EN.PA
2022-02-20,0.9,EN.PA
2022-02-21,1.7,EN.PA
2022-02-22,1.7,EN.PA
2022-02-23,1.6,EN.PA
2022-02-24,1.6,EN.PA
2022-02-25,1.6,EN.PA
2022-02-26,1.6,EN.PA
2022-02-27,1.6,EN.PA
2022-02-28,1.6,EN.PA
2022-03-01,1.6,EN.PA
2022-03-02,4.1,AMUN.PA
2022-03-03,2.9,AMUN.PA
2022-03-04,3.1,AMUN.PA
2022-03-05,2.9,AMUN.PA
2022-03-06,2.5,AMUN.PA
2022-03-07,2.2,AMUN.PA
2022-03-08,1.991171,AMUN.PA
2022-03-09,2.65,GFC.PA
2022-03-10,2.65,GFC.PA
2022-03-11,2.65,GFC.PA
2022-03-12,2.65,GFC.PA
2022-03-13,2.5,GFC.PA
2022-03-14,2.8,GFC.PA
2022-03-15,2.75,GFC.PA
2022-03-16,2.75,GFC.PA
2022-03-17,2.65,GFC.PA
2022-03-18,2.65,GFC.PA
2022-03-19,2.65,GFC.PA
2022-03-20,2.538096,GFC.PA
2022-03-21,2.538096,GFC.PA
2022-03-22,2.440477,GFC.PA
2022-03-23,2.440477,GFC.PA
2022-03-24,4.539287,GFC.PA
2022-03-25,4.490477,GFC.PA
2022-03-26,4.295239,GFC.PA
2022-03-27,4.295239,GFC.PA
2022-03-28,4.295239,GFC.PA
2022-03-29,1.7,LI.PA
2022-03-30,1.0,LI.PA
2022-03-31,1.1,LI.PA
2022-04-01,1.1,LI.PA
2022-04-02,1.05,LI.PA
2022-04-03,1.05,LI.PA
2022-04-04,1.96,LI.PA
2022-04-05,1.82,LI.PA
2022-04-06,1.7,LI.PA
2022-04-07,0.69,LI.PA
2022-04-08,0.91,LI.PA
2022-04-09,1.55,LI.PA
2022-04-10,1.5,LI.PA
2022-04-11,1.45,LI.PA
2022-04-12,1.35,LI.PA
2022-04-13,3.75,COV.PA
2022-04-14,3.599999,COV.PA
2022-04-15,4.8,COV.PA
2022-04-16,4.6,COV.PA
2022-04-17,4.5,COV.PA
2022-04-18,3.3703,COV.PA
2022-04-19,1.201,COV.PA
2022-04-20,1.3039,COV.PA
2022-04-21,1.251021,COV.PA
2022-04-22,4.126738,COV.PA
2022-04-23,4.126738,COV.PA
2022-04-24,2.111603,COV.PA
2022-04-25,1.08,ALD.PA
2022-04-26,0.63,ALD.PA
2022-04-27,0.63,ALD.PA
2022-04-28,0.58,ALD.PA
2022-04-29,0.55,ALD.PA
2022-04-30,0.5,SESG.PA
2022-05-01,0.4,SESG.PA
2022-05-02,0.4,SESG.PA
2022-05-03,0.8,SESG.PA
2022-05-04,0.8,SESG.PA
2022-05-05,1.34,SESG.PA
2022-05-06,1.3,SESG.PA
2022-05-07,1.18,SESG.PA
2022-05-08,1.07,SESG.PA
2022-05-09,0.97,SESG.PA
2022-05-10,0.88,SESG.PA
2022-05-11,0.8,SESG.PA
2022-05-12,6.85,RE.PA
2022-05-13,6.85,RE.PA
2022-05-14,2.9,RE.PA
2022-05-15,6.4,RE.PA
2022-05-16,5.55,RE.PA
2022-05-17,8.2,RE.PA
2022-05-18,2.75,RE.PA
2022-05-19,5.45,RE.PA
2022-05-20,5.45,RE.PA
2022-05-21,15.4,RE.PA
2022-05-22,7.26,RE.PA
2022-05-23,7.26,RE.PA
2022-05-24,7.26,RE.PA
2022-05-25,6.3,RE.PA
2022-05-26,2.1,ICAD.PA
2022-05-27,2.1,ICAD.PA
2022-05-28,2.0,ICAD.PA
2022-05-29,2.01,ICAD.PA
2022-05-30,1.6,ICAD.PA
2022-05-31,2.41,ICAD.PA
2022-06-01,2.3,ICAD.PA
2022-06-02,2.3,ICAD.PA
2022-06-03,4.3,ICAD.PA
2022-06-04,4.0,ICAD.PA
2022-06-05,3.73,ICAD.PA
2022-06-06,3.73,ICAD.PA
2022-06-07,3.67,ICAD.PA
2022-06-08,3.64,ICAD.PA
2022-06-09,3.72,ICAD.PA
2022-06-10,3.3,ICAD.PA
2022-06-11,1.8,SCR.PA
2022-06-12,1.8,SCR.PA
2022-06-13,1.8,SCR.PA
2022-06-14,1.8,SCR.PA
2022-06-15,1.75,SCR.PA
2022-06-16,1.75,SCR.PA
2022-06-17,1.65,SCR.PA
2022-06-18,1.65,SCR.PA
2022-06-19,1.5,SCR.PA
2022-06-20,1.4,SCR.PA
2022-06-21,1.3,SCR.PA
2022-06-22,1.2,SCR.PA
2022-06-23,1.1,SCR.PA
2022-06-24,1.1,SCR.PA
2022-06-25,9.7499,ALTA.PA
2022-06-26,9.75,ALTA.PA
2022-06-27,9.265391,ALTA.PA
2022-06-28,8.007248,ALTA.PA
2022-06-29,12.43513,ALTA.PA
2022-06-30,12.191304,ALTA.PA
2022-07-01,11.216,ALTA.PA
2022-07-02,0.431507,ALTA.PA
2022-07-03,9.589042,ALTA.PA
2022-07-04,9.589042,ALTA.PA
2022-07-05,9.589042,ALTA.PA
2022-07-06,8.630138,ALTA.PA
2022-07-07,7.671233,ALTA.PA
2022-07-08,1.55,NK.PA
2022-07-09,1.15,NK.PA
2022-07-10,1.72,NK.PA
2022-07-11,2.15,NK.PA
2022-07-12,2.075,NK.PA
2022-07-13,1.87,NK.PA
2022-07-14,1.75,NK.PA
2022-07-15,1.65,NK.PA
2022-07-16,1.6,NK.PA
2022-07-17,1.55,NK.PA
2022-07-18,1.5,NK.PA
2022-07-19,1.2,NK.PA
2022-07-20,1.6,ROTH.PA
2022-07-21,1.04,ROTH.PA
2022-07-22,0.7,ROTH.PA
2022-07-23,0.79,ROTH.PA
2022-07-24,0.68,ROTH.PA
2022-07-25,0.68,ROTH.PA
2022-07-26,0.63,ROTH.PA
2022-07-27,0.6,ROTH.PA
2022-07-28,0.5,ROTH.PA
2022-07-29,0.5,ROTH.PA
2022-07-30,0.5,ROTH.PA
2022-07-31,0.4,ROTH.PA
2022-08-01,0.93,ETL.PA
2022-01-01,0.89,ETL.PA
2022-01-02,1.27,ETL.PA
2022-01-03,1.27,ETL.PA
2022-01-04,1.21,ETL.PA
2022-01-05,1.1,ETL.PA
2022-01-06,1.09,ETL.PA
2022-01-07,1.03,ETL.PA
2022-01-08,1.03,ETL.PA
2022-01-09,1.08,ETL.PA
2022-01-10,1.0,ETL.PA
2022-01-11,0.9,ETL.PA
2022-01-12,1.86,RUI.PA
2022-01-13,1.8,RUI.PA
2022-01-14,1.75,RUI.PA
2022-01-15,1.59,RUI.PA
2022-01-16,1.5,RUI.PA
2022-01-17,1.34,RUI.PA
2022-01-18,1.21,RUI.PA
2022-01-19,1.025,RUI.PA
2022-01-20,0.95786,RUI.PA
2022-01-21,0.891918,RUI.PA
2022-01-22,0.809513,RUI.PA
2022-01-23,0.739226,RUI.PA
2022-01-24,1.0,CARM.PA
2022-01-25,1.0,CARM.PA
2022-01-26,1.87,CARM.PA
2022-01-27,1.0,CARM.PA
2022-01-28,1.5,CARM.PA
2022-01-29,0.75,CARM.PA
2022-01-30,0.75,CARM.PA
2022-01-31,1.656191,CARM.PA
2022-02-01,1.339048,CARM.PA
2022-02-02,1.09254,CARM.PA
2022-02-03,0.205401,CARM.PA
2022-02-04,1.75,TRI.PA
2022-02-05,3.2,TRI.PA
2022-02-06,2.2,TRI.PA
2022-02-07,2.0,TRI.PA
2022-02-08,2.0,TRI.PA
2022-02-09,1.3,TRI.PA
2022-02-10,1.0,TRI.PA
2022-02-11,0.7,TRI.PA
2022-02-12,0.3,TRI.PA
2022-02-13,0.3,TRI.PA
2022-02-14,1.0,MMT.PA
2022-02-15,1.5,MMT.PA
2022-02-16,1.0,MMT.PA
2022-02-17,1.0,MMT.PA
2022-02-18,0.95,MMT.PA
2022-02-19,0.85,MMT.PA
2022-02-20,0.85,MMT.PA
2022-02-21,0.85,MMT.PA
2022-02-22,0.85,MMT.PA
2022-02-23,1.0,MMT.PA
2022-02-24,1.0,MMT.PA
2022-02-25,1.0,MMT.PA
2022-02-26,2.0,NXI.PA
2022-02-27,2.0,NXI.PA
2022-02-28,2.5,NXI.PA
2022-03-01,2.5,NXI.PA
2022-03-02,2.4,NXI.PA
2022-03-03,2.2,NXI.PA
2022-03-04,2.0,NXI.PA
2022-03-05,2.0,NXI.PA
2022-03-06,2.0,NXI.PA
2022-03-07,2.0,NXI.PA
2022-03-08,2.026,NXI.PA
2022-03-09,2.0,NXI.PA
2022-03-10,0.45,TFI.PA
2022-03-11,0.5,TFI.PA
2022-03-12,0.4,TFI.PA
2022-03-13,0.35,TFI.PA
2022-03-14,0.28,TFI.PA
2022-03-15,0.52,TFI.PA
2022-03-16,1.5,TFI.PA
2022-03-17,0.55,TFI.PA
2022-03-18,0.55,TFI.PA
2022-03-19,0.55,TFI.PA
2022-03-20,0.55,TFI.PA
2022-03-21,1.5,VCT.PA
2022-03-22,1.5,VCT.PA
2022-03-23,1.5,VCT.PA
2022-03-24,1.5,VCT.PA
2022-03-25,1.5,VCT.PA
2022-03-26,1.5,VCT.PA
2022-03-27,1.5,VCT.PA
2022-03-28,1.5,VCT.PA
2022-03-29,1.5,VCT.PA
2022-03-30,1.5,VCT.PA
2022-03-31,1.5,VCT.PA
2022-04-01,2.55,CRLA.PA
2022-04-02,2.52,CRLA.PA
2022-04-03,2.46,CRLA.PA
2022-04-04,2.39,CRLA.PA
2022-04-05,2.34,CRLA.PA
2022-04-06,2.3,CRLA.PA
2022-04-07,2.34,CRLA.PA
2022-04-08,2.46,CRLA.PA
2022-04-09,2.61,CRLA.PA
2022-04-10,2.61,CRLA.PA
2022-04-11,2.53,CRLA.PA
2022-04-12,0.32,DBG.PA
2022-04-13,0.11,DBG.PA
2022-04-14,0.14,DBG.PA
2022-04-15,0.14,DBG.PA
2022-04-16,0.14,DBG.PA
2022-04-17,0.02,DBG.PA
2022-04-18,0.05,DBG.PA
2022-04-19,0.06,DBG.PA
2022-04-20,0.09,DBG.PA
2022-04-21,4.7,ELEC.PA
2022-04-22,5.4,ELEC.PA
2022-04-23,5.4,ELEC.PA
2022-04-24,5.0,ELEC.PA
2022-04-25,6.4,ELEC.PA
2022-04-26,6.0,ELEC.PA
2022-04-27,5.3,ELEC.PA
2022-04-28,5.7,ELEC.PA
2022-04-29,6.8,ELEC.PA
2022-04-30,5.6,ELEC.PA
2022-05-01,6.1,ELEC.PA
2022-05-02,5.9,ELEC.PA
2022-05-03,3.69,EC.PA
2022-05-04,37.7,EC.PA
2022-05-05,9.88,EC.PA
2022-05-06,9.86,EC.PA
2022-05-07,4.66,EC.PA
2022-05-08,4.03,EC.PA
2022-05-09,3.999,EC.PA
2022-05-10,9.21,EC.PA
2022-05-11,9.21,EC.PA
2022-05-12,25.0268,EC.PA
2022-05-13,26.31,EC.PA
2022-05-14,27.45,EC.PA
2022-05-15,21.05,EC.PA
2022-05-16,8.0,SAMS.PA
2022-05-17,8.0,SAMS.PA
2022-05-18,8.0,SAMS.PA
2022-05-19,8.0,SAMS.PA
2022-05-20,2.5,SAMS.PA
2022-05-21,2.5,SAMS.PA
2022-05-22,2.2,SAMS.PA
2022-05-23,2.1,SAMS.PA
2022-05-24,2.1,SAMS.PA
2022-05-25,2.1,SAMS.PA
2022-05-26,2.0,SAMS.PA
